: physical|物質
酒神 酒|liquor 太陽神 太陽|sun
酒神 酒|liquor 火神 fire|火
酒神 酒|liquor 祝融 fire|火
吸血鬼 妖怪|goblin 水蛭 InsectWorm|蟲
巨靈 妖怪|goblin 巨龍 龍|dragon
巨靈 妖怪|goblin 信天翁 海鳥|seafowl
巨靈 妖怪|goblin 龍蝦 蝦|shrimp
巨靈 妖怪|goblin 巨樹 tree|樹
巨靈 妖怪|goblin 球根 根|root
巨靈 妖怪|goblin 啤酒肚 肚子|belly
巨靈 妖怪|goblin 大江 河|river
巨靈 妖怪|goblin 大衣 外套|overcoat
巨靈 妖怪|goblin 廣廈 樓房|TallBuilding
巨靈 妖怪|goblin 大園 花園|FlowerGarden
巨靈 妖怪|goblin 大車 汽車|MotorVehicle
巨靈 妖怪|goblin 大卡車 貨車|truck
巨靈 妖怪|goblin 貨櫃車 貨車|truck
巨靈 妖怪|goblin 重機車 機車|motorcycle
巨靈 妖怪|goblin 雙人床 床|bed
巨靈 妖怪|goblin 大鼓 鼓|drum
巨靈 妖怪|goblin 大鍋 鍋子|pot
巨靈 妖怪|goblin 碗公 碗|bowl
夜叉 妖怪|goblin 暴君 君主|monarch
夜叉 妖怪|goblin 野人 human|人
夜叉 妖怪|goblin 野蠻人 human|人
夜叉 妖怪|goblin 花臉 角色|role
孤魂野鬼 鬼|ghost 浪人 human|人
孤魂野鬼 鬼|ghost 流浪漢 男性|man
孤魂野鬼 鬼|ghost 遊民 窮人|PoorMan
女將 人才|talent 女王 君主|monarch
女將 人才|talent 女皇 君主|monarch
女將 人才|talent 女奴 奴隸|slave
女將 人才|talent 女嬰 嬰兒|baby
女將 人才|talent 女主角 主角|LeadingRole
女將 人才|talent 女主人 master|主人
女將 人才|talent 女伴 friends|朋友
女將 人才|talent 女警 警察|policeman
女將 人才|talent 婆子 spouse|配偶
女將 人才|talent 廚娘 廚師|chef
女將 人才|talent 女畫家 畫家|painter
女將 人才|talent 女巫 巫師|wizard
女將 人才|talent 巫婆 巫師|wizard
女將 人才|talent 女侍 服務生|attendant
女將 人才|talent 小妹 服務生|attendant
女將 人才|talent 歌姬 歌手|singer
女將 人才|talent 女演員 藝人|performer
女將 人才|talent 女優 藝人|performer
女將 人才|talent 女工 工人|worker
女將 人才|talent 女弟子 學生|student
女將 人才|talent 母老虎 虎|tiger
女將 人才|talent 母狗 狗|dog
女將 人才|talent 母鴨 鴨子|duck
女將 人才|talent 母雞 雞|chicken
女將 人才|talent 雌蝶 蝴蝶|butterfly
女將 人才|talent 千金 offspring|後代
女將 人才|talent 仙子 神仙|immortal
女將 人才|talent 玉女 神仙|immortal
女將 人才|talent 神女 神仙|immortal
女將 人才|talent 聖母 神仙|immortal
女將 人才|talent 女神 神仙|immortal
女將 人才|talent 天仙 神仙|immortal
女將 人才|talent 仙女 神仙|immortal
女將 人才|talent 人母 parents|父母
女將 人才|talent 母親 parents|父母
女將 人才|talent 老媽 parents|父母
女將 人才|talent 阿母 parents|父母
女將 人才|talent 娘 parents|父母
女將 人才|talent 媽 parents|父母
女將 人才|talent 媽咪 parents|父母
女將 人才|talent 媽媽 parents|父母
女將 人才|talent 母 parents|父母
女將 人才|talent 女 offspring|後代
女將 人才|talent 女兒 offspring|後代
女將 人才|talent 掌上明珠 offspring|後代
女將 人才|talent 姊妹 sibling|手足
女將 人才|talent 姊妹花 sibling|手足
女將 人才|talent 姊妺 sibling|手足
女將 人才|talent 姐妹 sibling|手足
女將 人才|talent 姐妺 sibling|手足
女將 人才|talent 老婆 spouse|配偶
女將 人才|talent 妻 spouse|配偶
女將 人才|talent 妻子 spouse|配偶
女將 人才|talent 家室 spouse|配偶
女將 人才|talent 牽手 spouse|配偶
女將 人才|talent 愛妻 spouse|配偶
女將 人才|talent 嬌妻 spouse|配偶
女將 人才|talent 女人 spouse|配偶
女將 人才|talent 人妻 spouse|配偶
女將 人才|talent 婢女 佣人|servant
女將 人才|talent 女傭 佣人|servant
女將 人才|talent 女僕 佣人|servant
女將 人才|talent 奴婢 佣人|servant
女將 人才|talent 侍女 佣人|servant
女將 人才|talent 女子 human|人
女將 人才|talent 女生 human|人
女將 人才|talent 女色 human|人
女將 人才|talent 女性 human|人
女將 人才|talent 小姐 human|人
女將 人才|talent 查某 human|人
女將 人才|talent 紅粉 human|人
黑馬 馬|horse 狗熊 熊|bear
黑馬 馬|horse 黑熊 熊|bear
黑馬 馬|horse 黑鷹 鷹|hawk
黑馬 馬|horse 黑豆 豆子|beans
黑馬 馬|horse 黑松 松|pine
黑馬 馬|horse 黑髮 頭髮|HeadHair
黑馬 馬|horse 黑煙 煙|smoke
黑馬 馬|horse 黑斑 斑點|spot
黑馬 馬|horse 石墨 礦物|mineral
黑馬 馬|horse 黑陶 陶器|pottery
黑馬 馬|horse 烏鴉 bird|禽
黑馬 馬|horse 烏 bird|禽
後起之秀 人才|talent 小僧 僧人|monk
後起之秀 人才|talent 少東 老闆|shopkeeper
後起之秀 人才|talent 小倆口 夫妻|HusbandAndWife
後起之秀 人才|talent 窮小子 窮人|PoorMan
後起之秀 人才|talent 小將 將軍|GeneralOfficer
後起之秀 人才|talent 丫環 女佣|maidservant
後起之秀 人才|talent 知青 學者|scholar
後起之秀 人才|talent 阿嬌 美女|BeautifulWoman
後起之秀 人才|talent 女郎 女性|woman
後起之秀 人才|talent 小妮子 女性|woman
後起之秀 人才|talent 少女 女性|woman
後起之秀 人才|talent 姐 女性|woman
後起之秀 人才|talent 少奶奶 婦女|MarriedWomen
後起之秀 人才|talent 少婦 婦女|MarriedWomen
後起之秀 人才|talent 少年犯 犯人|criminals
後起之秀 人才|talent 阿飛 流氓|hoodlum
後起之秀 人才|talent 小老弟 human|人
後起之秀 人才|talent 年輕人 human|人
後起之秀 人才|talent 青少年 human|人
後起之秀 人才|talent 青年 human|人
後起之秀 人才|talent 青年人 human|人
始作俑者 創始人|founder 老東西 老人|OldPerson
始作俑者 創始人|founder 鳥人 庸才|mediocrity
始作俑者 創始人|founder 狗官 公務員|PublicServant
始作俑者 創始人|founder 狗仔隊 記者|reporter
始作俑者 創始人|founder 禍水 女性|woman
元勳 創始人|founder 功臣 吏|OfficialInFeudalTimes
精英 人才|talent 金童玉女 情侶|lovers
精英 人才|talent 高材生 學生|student
精英 人才|talent 頭彩 獎品|prize
精英 人才|talent 頭獎 獎品|prize
精英 人才|talent 傑作 作品|works
精英 人才|talent 極品 artifact|人工物
精英 人才|talent 頭等艙 艙|cabin
新秀 人才|talent 新貨 商品|commodity
新秀 人才|talent 近作 作品|works
新秀 人才|talent 新作 作品|works
新星 人才|talent 新貨 商品|commodity
新星 人才|talent 近作 作品|works
新星 人才|talent 新作 作品|works
先哲 聖賢|sage 舊屬 屬下|subordinate
先哲 聖賢|sage 舊愛 情人|lover
先哲 聖賢|sage 陳跡 行蹤|track
先哲 聖賢|sage 舊作 作品|works
先哲 聖賢|sage 古堡 城堡|castle
先哲 聖賢|sage 舊居 住所|residence
先哲 聖賢|sage 古厝 house|房屋
先哲 聖賢|sage 古道 route|道路
先哲 聖賢|sage 古寺 寺廟|temple
先哲 聖賢|sage 古剎 寺廟|temple
先哲 聖賢|sage 古廟 寺廟|temple
先哲 聖賢|sage 庠序 學校|school
先哲 聖賢|sage 學堂 學校|school
先哲 聖賢|sage 方舟 扁舟|SmallBoat
先哲 聖賢|sage 古琴 弦樂器|StringedInstrument
先哲 聖賢|sage 戟 矛|spear
先哲 聖賢|sage 大洋 money|貨幣
先哲 聖賢|sage 古錢 money|貨幣
先哲 聖賢|sage 古玉 玉石|jade
先哲 聖賢|sage 尚書 公務員|PublicServant
先哲 聖賢|sage 紐姆 樂譜|MusicScore
先哲 聖賢|sage 文獻 書籍|books
先哲 聖賢|sage 郎 公務員|PublicServant
先哲 聖賢|sage 大臣 公務員|PublicServant
先哲 聖賢|sage 中堂 公務員|PublicServant
先哲 聖賢|sage 太守 公務員|PublicServant
先哲 聖賢|sage 太常 公務員|PublicServant
先哲 聖賢|sage 少尉 公務員|PublicServant
先哲 聖賢|sage 臣 公務員|PublicServant
先哲 聖賢|sage 臣子 公務員|PublicServant
先哲 聖賢|sage 巡撫 公務員|PublicServant
先哲 聖賢|sage 侍郎 公務員|PublicServant
先哲 聖賢|sage 官宦 公務員|PublicServant
先哲 聖賢|sage 知府 公務員|PublicServant
先哲 聖賢|sage 卿 公務員|PublicServant
先哲 聖賢|sage 提督 公務員|PublicServant
先哲 聖賢|sage 歷任 公務員|PublicServant
先哲 聖賢|sage 經略 公務員|PublicServant
先哲 聖賢|sage 大夫 公務員|PublicServant
先哲 聖賢|sage 古物 artifact|人工物
先哲 聖賢|sage 古籍 典籍|ClassicalBooks
先賢 聖賢|sage 舊屬 屬下|subordinate
先賢 聖賢|sage 舊愛 情人|lover
先賢 聖賢|sage 陳跡 行蹤|track
先賢 聖賢|sage 舊作 作品|works
先賢 聖賢|sage 古堡 城堡|castle
先賢 聖賢|sage 舊居 住所|residence
先賢 聖賢|sage 古厝 house|房屋
先賢 聖賢|sage 古道 route|道路
先賢 聖賢|sage 古寺 寺廟|temple
先賢 聖賢|sage 古剎 寺廟|temple
先賢 聖賢|sage 古廟 寺廟|temple
先賢 聖賢|sage 庠序 學校|school
先賢 聖賢|sage 學堂 學校|school
先賢 聖賢|sage 方舟 扁舟|SmallBoat
先賢 聖賢|sage 古琴 弦樂器|StringedInstrument
先賢 聖賢|sage 戟 矛|spear
先賢 聖賢|sage 大洋 money|貨幣
先賢 聖賢|sage 古錢 money|貨幣
先賢 聖賢|sage 古玉 玉石|jade
先賢 聖賢|sage 尚書 公務員|PublicServant
先賢 聖賢|sage 紐姆 樂譜|MusicScore
先賢 聖賢|sage 文獻 書籍|books
先賢 聖賢|sage 郎 公務員|PublicServant
先賢 聖賢|sage 大臣 公務員|PublicServant
先賢 聖賢|sage 中堂 公務員|PublicServant
先賢 聖賢|sage 太守 公務員|PublicServant
先賢 聖賢|sage 太常 公務員|PublicServant
先賢 聖賢|sage 少尉 公務員|PublicServant
先賢 聖賢|sage 臣 公務員|PublicServant
先賢 聖賢|sage 臣子 公務員|PublicServant
先賢 聖賢|sage 巡撫 公務員|PublicServant
先賢 聖賢|sage 侍郎 公務員|PublicServant
先賢 聖賢|sage 官宦 公務員|PublicServant
先賢 聖賢|sage 知府 公務員|PublicServant
先賢 聖賢|sage 卿 公務員|PublicServant
先賢 聖賢|sage 提督 公務員|PublicServant
先賢 聖賢|sage 歷任 公務員|PublicServant
先賢 聖賢|sage 經略 公務員|PublicServant
先賢 聖賢|sage 大夫 公務員|PublicServant
先賢 聖賢|sage 古物 artifact|人工物
先賢 聖賢|sage 古籍 典籍|ClassicalBooks
先鋒 human|人 嚮導 員工|staff
先鋒 human|人 級任 老師|teacher
先鋒 human|人 導師 老師|teacher
先鋒 human|人 獅王 獅|lion
瘦皮猴 human|人 瘦肉 肉品|meat
後盾 human|人 左右手 屬下|subordinate
後盾 human|人 助理 員工|staff
後盾 human|人 助理員 員工|staff
後援 human|人 左右手 屬下|subordinate
後援 human|人 助理 員工|staff
後援 human|人 助理員 員工|staff
貴人 human|人 左右手 屬下|subordinate
貴人 human|人 助理 員工|staff
貴人 human|人 助理員 員工|staff
陪審團 成員|member 判官 吏|OfficialInFeudalTimes
學員 成員|member 徒 human|人
學員 成員|member 弟子 human|人
學員 成員|member 門人 human|人
學員 成員|member 門下 human|人
學員 成員|member 門生 human|人
學員 成員|member 門徒 human|人
學員 成員|member 徒弟 human|人
學員 成員|member 桃李 human|人
學員 成員|member 莘莘學子 human|人
學員 成員|member 學子 human|人
學員 成員|member 學生 human|人
學員 成員|member 學徒 human|人
學員 成員|member 生 human|人
中常委 委員|CommitteeMember 黨工 成員|member
中常委 委員|CommitteeMember 黨員 成員|member
監委 委員|CommitteeMember 督察長 領袖|leader
監委 委員|CommitteeMember 監事 主管|superintendent
監委 委員|CommitteeMember 監理 主管|superintendent
監委 委員|CommitteeMember 監督 公務員|PublicServant
監委 委員|CommitteeMember 督察 human|人
監委 委員|CommitteeMember 督導 human|人
監委 委員|CommitteeMember 監察人 human|人
政要 要員|ImportantMan 候選人 人選|candidate
政要 要員|ImportantMan 政敵 enemies|敵人
政要 要員|ImportantMan 異己 enemies|敵人
政要 要員|ImportantMan 資政 顧問|adviser
政要 要員|ImportantMan 政治家 專業人士|professional
主力 要員|ImportantMan 主顧 顧客|customer
主力 要員|ImportantMan 總長 吏|OfficialInFeudalTimes
主力 要員|ImportantMan 主投 投手|pitcher
主力 要員|ImportantMan 主審 裁判|umpire
主力 要員|ImportantMan 裁判長 裁判|umpire
主力 要員|ImportantMan 大廚 廚師|chef
主力 要員|ImportantMan 審判長 法官|LawOfficer
主力 要員|ImportantMan 總工程師 工程師|engineer
主力 要員|ImportantMan 總教練 教練|coach
主力 要員|ImportantMan 主奏 演奏家|instrumentalist
主力 要員|ImportantMan 主唱 歌手|singer
主力 要員|ImportantMan 主嫌 嫌犯|suspect
主力 要員|ImportantMan 大動脈 動脈|artery
主力 要員|ImportantMan 主峰 山峰|MountainPeak
主力 要員|ImportantMan 本島 島|island
主力 要員|ImportantMan 大菜 菜餚|dish
主力 要員|ImportantMan 主菜 菜餚|dish
主力 要員|ImportantMan 代表作 作品|works
主力 要員|ImportantMan 大門 門|door
主力 要員|ImportantMan 中心線 公路|highway
主力 要員|ImportantMan 幹道 公路|highway
主力 要員|ImportantMan 幹線 公路|highway
主力 要員|ImportantMan 主線 route|道路
主力 要員|ImportantMan 總廠 工廠|factory
主力 要員|ImportantMan 總店 商店|shop
主力 要員|ImportantMan 總機 電話|telephone
主力 要員|ImportantMan 主食 food|食品
主力 要員|ImportantMan 大街 route|道路
主力 要員|ImportantMan 大道 route|道路
主力 要員|ImportantMan 要道 route|道路
族長 領袖|leader 族人 人民|people
督察長 領袖|leader 監事 主管|superintendent
督察長 領袖|leader 監理 主管|superintendent
督察長 領袖|leader 監督 公務員|PublicServant
督察長 領袖|leader 督察 human|人
督察長 領袖|leader 督導 human|人
督察長 領袖|leader 監察人 human|人
活佛 領袖|leader 佛教徒 教徒|ReligiousFollower
活佛 領袖|leader 佛寺 寺廟|temple
活佛 領袖|leader 禪寺 寺廟|temple
活佛 領袖|leader 缽 碗|bowl
活佛 領袖|leader 舍利 treasure|珍寶
活佛 領袖|leader 佛典 典籍|ClassicalBooks
活佛 領袖|leader 佛經 典籍|ClassicalBooks
活佛 領袖|leader 經論 典籍|ClassicalBooks
法王 領袖|leader 宗教家 專業人士|professional
法王 領袖|leader 神棍 騙子|swindler
法王 領袖|leader 聖像 雕塑|sculpture
法王 領袖|leader 齋 素食|VegetarianDish
法王 領袖|leader 法器 implement|器具
法王 領袖|leader 神鐘 MusicTool|樂器
法王 領袖|leader 磬 MusicTool|樂器
法王 領袖|leader 符 tool|用具
法王 領袖|leader 寺 facilities|設施
法王 領袖|leader 寺院 facilities|設施
法王 領袖|leader 寺廟 facilities|設施
法王 領袖|leader 城隍廟 facilities|設施
法王 領袖|leader 修道院 facilities|設施
法王 領袖|leader 神廟 facilities|設施
法王 領袖|leader 僧院 facilities|設施
法王 領袖|leader 廟 facilities|設施
法王 領袖|leader 廟方 facilities|設施
法王 領袖|leader 廟宇 facilities|設施
暴君 君主|monarch 野人 human|人
暴君 君主|monarch 野蠻人 human|人
暴君 君主|monarch 花臉 角色|role
昏君 君主|monarch 笨蛋 human|人
昏君 君主|monarch 傻子 human|人
昏君 君主|monarch 傻瓜 human|人
昏君 君主|monarch 愚人 human|人
昏君 君主|monarch 豬頭 human|人
昏君 君主|monarch 白癡 human|人
昏君 君主|monarch 呆子 human|人
天皇 君主|monarch 日商 商人|businessman
天皇 君主|monarch 和服 clothing|衣物
天皇 君主|monarch 神社 寺廟|temple
天皇 君主|monarch 武士刀 刀劍|sword
日皇 君主|monarch 日商 商人|businessman
日皇 君主|monarch 和服 clothing|衣物
日皇 君主|monarch 神社 寺廟|temple
日皇 君主|monarch 武士刀 刀劍|sword
霸主 君主|monarch 霸王 human|人
霸主 君主|monarch 惡霸 壞人|rascal
明王 君主|monarch 上智 聖賢|sage
明王 君主|monarch 天才 聖賢|sage
明王 君主|monarch 智者 聖賢|sage
聖主 君主|monarch 上智 聖賢|sage
聖主 君主|monarch 天才 聖賢|sage
聖主 君主|monarch 智者 聖賢|sage
皇上 君主|monarch 尊者 僧人|monk
皇上 君主|monarch 道長 道士|DaoistPriest
皇上 君主|monarch 太夫人 mother|母
皇上 君主|monarch 太座 wife|妻子
皇上 君主|monarch 娘子 婦女|MarriedWomen
皇上 君主|monarch 師長 老師|teacher
皇上 君主|monarch 尊師 老師|teacher
皇上 君主|monarch 夫人 婦女|MarriedWomen
皇上 君主|monarch 老奶奶 老婦|OldWoman
皇上 君主|monarch 公館 住所|residence
陛下 君主|monarch 尊者 僧人|monk
陛下 君主|monarch 道長 道士|DaoistPriest
陛下 君主|monarch 太夫人 mother|母
陛下 君主|monarch 太座 wife|妻子
陛下 君主|monarch 娘子 婦女|MarriedWomen
陛下 君主|monarch 師長 老師|teacher
陛下 君主|monarch 尊師 老師|teacher
陛下 君主|monarch 夫人 婦女|MarriedWomen
陛下 君主|monarch 老奶奶 老婦|OldWoman
陛下 君主|monarch 公館 住所|residence
大汗 汗|sweat 百獸 animal|獸
大汗 汗|sweat 羊群 羊|sheep
大汗 汗|sweat 牛群 牛|cattle
大汗 汗|sweat 豬隻 豬|pig
大汗 汗|sweat 魚群 fish|魚
大汗 汗|sweat 松林 松|pine
大汗 汗|sweat 竹林 竹|bamboo
大汗 汗|sweat 花海 花|flower
大汗 汗|sweat 花叢 花|flower
大汗 汗|sweat 草叢 草|grass
大汗 汗|sweat 血海 血液|blood
大汗 汗|sweat 滿天星 celestial|天體
大汗 汗|sweat 繁星 celestial|天體
大汗 汗|sweat 山群 山|mountain
大汗 汗|sweat 山巒 山|mountain
大汗 汗|sweat 崇山峻嶺 山|mountain
大汗 汗|sweat 群山 山|mountain
大汗 汗|sweat 車隊 LandVehicle|車
大汗 汗|sweat 船隊 ship|船
大汗 汗|sweat 艦隊 軍艦|NavalVessel
大汗 汗|sweat 鉅資 fund|資金
大汗 汗|sweat 巨款 wealth|錢財
大汗 汗|sweat 鉅款 wealth|錢財
大汗 汗|sweat 千金 wealth|錢財
大汗 汗|sweat 高薪 payment|酬金
大汗 汗|sweat 巨資 money|貨幣
大汗 汗|sweat 大錢 money|貨幣
大汗 汗|sweat 厚利 利潤|profit
大汗 汗|sweat 重利 利潤|profit
大汗 汗|sweat 書海 書籍|books
大汗 汗|sweat 萬卷書 書籍|books
大汗 汗|sweat 高票 選票|ballot
大汗 汗|sweat 眾人 human|人
大汗 汗|sweat 群眾 human|人
大汗 汗|sweat 人海 human|人
大汗 汗|sweat 人堆 human|人
大汗 汗|sweat 人群 human|人
大汗 汗|sweat 人潮 human|人
大汗 汗|sweat 綠林 tree|樹
大汗 汗|sweat 樹林 tree|樹
大汗 汗|sweat 樹叢 tree|樹
大汗 汗|sweat 叢林 tree|樹
大汗 汗|sweat 林子 tree|樹
大汗 汗|sweat 林木 tree|樹
大汗 汗|sweat 森林 tree|樹
女王 君主|monarch 女奴 奴隸|slave
女王 君主|monarch 女嬰 嬰兒|baby
女王 君主|monarch 女主角 主角|LeadingRole
女王 君主|monarch 女主人 master|主人
女王 君主|monarch 女伴 friends|朋友
女王 君主|monarch 女警 警察|policeman
女王 君主|monarch 婆子 spouse|配偶
女王 君主|monarch 廚娘 廚師|chef
女王 君主|monarch 女畫家 畫家|painter
女王 君主|monarch 女巫 巫師|wizard
女王 君主|monarch 巫婆 巫師|wizard
女王 君主|monarch 女侍 服務生|attendant
女王 君主|monarch 小妹 服務生|attendant
女王 君主|monarch 歌姬 歌手|singer
女王 君主|monarch 女演員 藝人|performer
女王 君主|monarch 女優 藝人|performer
女王 君主|monarch 女工 工人|worker
女王 君主|monarch 女弟子 學生|student
女王 君主|monarch 母老虎 虎|tiger
女王 君主|monarch 母狗 狗|dog
女王 君主|monarch 母鴨 鴨子|duck
女王 君主|monarch 母雞 雞|chicken
女王 君主|monarch 雌蝶 蝴蝶|butterfly
女王 君主|monarch 千金 offspring|後代
女王 君主|monarch 仙子 神仙|immortal
女王 君主|monarch 玉女 神仙|immortal
女王 君主|monarch 神女 神仙|immortal
女王 君主|monarch 聖母 神仙|immortal
