: physical|物質
積水 水 保留地 土|土地|地|陸|陸地
外壁 物體 鏡面 鏡|鏡子
外壁 實體 彈殼 子彈|槍彈
外壁 物質 彈殼 子彈|槍彈
外壁 物體 彈殼 子彈|槍彈
外壁 實體 封面 圖書|書|書冊|書卷|書本|書籍|籍
外壁 物質 封面 圖書|書|書冊|書卷|書本|書籍|籍
外壁 物體 封面 圖書|書|書冊|書卷|書本|書籍|籍
刺 實體 針葉 葉|葉子|葉片
刺 物質 針葉 葉|葉子|葉片
刺 物體 針葉 葉|葉子|葉片
刺 實體 尖刀 刀|刀子
刺 物質 尖刀 刀|刀子
刺 物體 尖刀 刀|刀子
刺 實體 刺針 工具|用具|用品
刺 物質 刺針 工具|用具|用品
刺 物體 刺針 工具|用具|用品
刺 實體 尖塔 公寓|大廈|大樓|廈|樓房|高樓大廈
刺 物質 尖塔 公寓|大廈|大樓|廈|樓房|高樓大廈
刺 物體 尖塔 公寓|大廈|大樓|廈|樓房|高樓大廈
刺 實體 高塔 公寓|大廈|大樓|廈|樓房|高樓大廈
刺 物質 高塔 公寓|大廈|大樓|廈|樓房|高樓大廈
刺 物體 高塔 公寓|大廈|大樓|廈|樓房|高樓大廈
刺 實體 塔 公寓|大廈|大樓|廈|樓房|高樓大廈
刺 物質 塔 公寓|大廈|大樓|廈|樓房|高樓大廈
刺 物體 塔 公寓|大廈|大樓|廈|樓房|高樓大廈
刺 實體 針 工具|用具|用品
刺 物質 針 工具|用具|用品
刺 物體 針 工具|用具|用品
刺 實體 針筒 工具|用具|用品
刺 物質 針筒 工具|用具|用品
刺 物體 針筒 工具|用具|用品
刺 實體 針劑 工具|用具|用品
刺 物質 針劑 工具|用具|用品
刺 物體 針劑 工具|用具|用品
集合體 實體 合輯 作品|創作
集合體 物質 合輯 作品|創作
集合體 物體 合輯 作品|創作
配給 實體 撥款 基金|本|本錢|經費|資本|資金
配給 物質 撥款 基金|本|本錢|經費|資本|資金
配給 物體 撥款 基金|本|本錢|經費|資本|資金
硬塊 實體 硬殼 外殼|殼|殼子|甲
硬塊 物質 硬殼 外殼|殼|殼子|甲
硬塊 物體 硬殼 外殼|殼|殼子|甲
硬塊 實體 硬木 木頭
硬塊 物質 硬木 木頭
硬塊 物體 硬木 木頭
硬塊 實體 鋼盔 帽|帽子
硬塊 物質 鋼盔 帽|帽子
硬塊 物體 鋼盔 帽|帽子
硬塊 實體 頭盔 帽|帽子
硬塊 物質 頭盔 帽|帽子
硬塊 物體 頭盔 帽|帽子
硬塊 實體 牛皮紙 紙|紙張
硬塊 物質 牛皮紙 紙|紙張
硬塊 物體 牛皮紙 紙|紙張
發光體 實體 螢火蟲 昆蟲|蟲|蟲兒|蟲子
發光體 物質 螢火蟲 昆蟲|蟲|蟲兒|蟲子
發光體 物體 螢火蟲 昆蟲|蟲|蟲兒|蟲子
薄片 實體 金箔 金|金子|黃金
薄片 物質 金箔 金|金子|黃金
薄片 物體 金箔 金|金子|黃金
陳列品 實體 展覽品 成品|物品|製品
陳列品 物質 展覽品 成品|物品|製品
陳列品 物體 展覽品 成品|物品|製品
陳列品 實體 樣品屋 屋子|屋舍|房|房子|房屋|房舍
陳列品 物質 樣品屋 屋子|屋舍|房|房子|房屋|房舍
陳列品 物體 樣品屋 屋子|屋舍|房|房子|房屋|房舍
聖品 實體 特效藥 藥|藥劑|藥品|藥物|醫藥品
聖品 物質 特效藥 藥|藥劑|藥品|藥物|醫藥品
聖品 物體 特效藥 藥|藥劑|藥品|藥物|醫藥品
聖品 實體 利器 工具|用具|用品
聖品 物質 利器 工具|用具|用品
聖品 物體 利器 工具|用具|用品
良幣 實體 商務艙 座艙|艙
良幣 物質 商務艙 座艙|艙
良幣 物體 商務艙 座艙|艙
良幣 實體 強勢股 有價證券|股票|証券|證券
良幣 物質 強勢股 有價證券|股票|証券|證券
良幣 物體 強勢股 有價證券|股票|証券|證券
良幣 實體 績優股 有價證券|股票|証券|證券
良幣 物質 績優股 有價證券|股票|証券|證券
良幣 物體 績優股 有價證券|股票|証券|證券
良幣 實體 駿馬 馬|馬匹
良幣 物質 駿馬 馬|馬匹
良幣 物體 駿馬 馬|馬匹
個體 實體 一草一木 植株|植物|花木|草木
個體 物質 一草一木 植株|植物|花木|草木
個體 物體 一草一木 植株|植物|花木|草木
保育類 動植物 綠蠵龜 烏龜|龜
保育類 有機體 綠蠵龜 烏龜|龜
保育類 生物 綠蠵龜 烏龜|龜
保育類 生物體 綠蠵龜 烏龜|龜
理監事 人 理事 份子|分子|成員
理監事 人兒 理事 份子|分子|成員
理監事 人類 理事 份子|分子|成員
移民 人 外僑 國民
移民 人兒 外僑 國民
移民 人類 外僑 國民
移民 人 僑民 國民
移民 人兒 僑民 國民
移民 人類 僑民 國民
移民 人 僑胞 國民
移民 人兒 僑胞 國民
移民 人類 僑胞 國民
慢郎中 人 文火 火|火焰|火燄
慢郎中 人兒 文火 火|火焰|火燄
慢郎中 人類 文火 火|火焰|火燄
慢郎中 人 慢火 火|火焰|火燄
慢郎中 人兒 慢火 火|火焰|火燄
慢郎中 人類 慢火 火|火焰|火燄
飛毛腿 人 千里馬 駿馬
飛毛腿 人兒 千里馬 駿馬
飛毛腿 人類 千里馬 駿馬
評審 人 裁判 內行人|專家|專才|行家
評審 人兒 裁判 內行人|專家|專才|行家
評審 人類 裁判 內行人|專家|專才|行家
異鄉人 人 外地人 住戶|住民|居民
異鄉人 人兒 外地人 住戶|住民|居民
異鄉人 人類 外地人 住戶|住民|居民
發起人 人 鼻祖 人才|人材|才人|才俊|英才
發起人 人兒 鼻祖 人才|人材|才人|才俊|英才
發起人 人類 鼻祖 人才|人材|才人|才俊|英才
發起人 人 始祖 人才|人材|才人|才俊|英才
發起人 人兒 始祖 人才|人材|才人|才俊|英才
發起人 人類 始祖 人才|人材|才人|才俊|英才
發起人 人 祖師 人才|人材|才人|才俊|英才
發起人 人兒 祖師 人才|人材|才人|才俊|英才
發起人 人類 祖師 人才|人材|才人|才俊|英才
發起人 人 創始人 人才|人材|才人|才俊|英才
發起人 人兒 創始人 人才|人材|才人|才俊|英才
發起人 人類 創始人 人才|人材|才人|才俊|英才
發起人 人 創辦人 人才|人材|才人|才俊|英才
發起人 人兒 創辦人 人才|人材|才人|才俊|英才
發起人 人類 創辦人 人才|人材|才人|才俊|英才
代理人 人 代理商 商人|業者|生意人
代理人 人兒 代理商 商人|業者|生意人
代理人 人類 代理商 商人|業者|生意人
專人 人 特派員 記者
專人 人兒 特派員 記者
專人 人類 特派員 記者
胖子 人 培根 豬肉
胖子 人兒 培根 豬肉
胖子 人類 培根 豬肉
胖子 人 五花肉 肉品|肉類
胖子 人兒 五花肉 肉品|肉類
胖子 人類 五花肉 肉品|肉類
胖子 人 肥肉 肉品|肉類
胖子 人兒 肥肉 肉品|肉類
胖子 人類 肥肉 肉品|肉類
監護人 人 守護神 仙|仙人|祇|神|神仙|神明|神祇
監護人 人兒 守護神 仙|仙人|祇|神|神仙|神明|神祇
監護人 人類 守護神 仙|仙人|祇|神|神仙|神明|神祇
監護人 人 護衛 內行人|專家|專才|行家
監護人 人兒 護衛 內行人|專家|專才|行家
監護人 人類 護衛 內行人|專家|專才|行家
監護人 人 保安 內行人|專家|專才|行家
監護人 人兒 保安 內行人|專家|專才|行家
監護人 人類 保安 內行人|專家|專才|行家
監護人 人 守衛 內行人|專家|專才|行家
監護人 人兒 守衛 內行人|專家|專才|行家
監護人 人類 守衛 內行人|專家|專才|行家
監護人 人 侍衛 內行人|專家|專才|行家
監護人 人兒 侍衛 內行人|專家|專才|行家
監護人 人類 侍衛 內行人|專家|專才|行家
監護人 人 駐衛警 內行人|專家|專才|行家
監護人 人兒 駐衛警 內行人|專家|專才|行家
監護人 人類 駐衛警 內行人|專家|專才|行家
監護人 人 警衛 內行人|專家|專才|行家
監護人 人兒 警衛 內行人|專家|專才|行家
監護人 人類 警衛 內行人|專家|專才|行家
餓鬼 人 饑民 人民|全民|國人|民間|老百姓
餓鬼 人兒 饑民 人民|全民|國人|民間|老百姓
餓鬼 人類 饑民 人民|全民|國人|民間|老百姓
中年人 人 歐巴桑 太太|婆婆媽媽|婦人|婦女
中年人 人兒 歐巴桑 太太|婆婆媽媽|婦人|婦女
中年人 人類 歐巴桑 太太|婆婆媽媽|婦人|婦女
中年人 人 大娘 女|女人|女子|女性|女生|小姐
中年人 人兒 大娘 女|女人|女子|女性|女生|小姐
中年人 人類 大娘 女|女人|女子|女性|女生|小姐
中年人 人 大媽 女|女人|女子|女性|女生|小姐
中年人 人兒 大媽 女|女人|女子|女性|女生|小姐
中年人 人類 大媽 女|女人|女子|女性|女生|小姐
熟面孔 人 老主顧 客戶|顧客
熟面孔 人兒 老主顧 客戶|顧客
熟面孔 人類 老主顧 客戶|顧客
車主 車 麻子 斑|斑點
車主 車子 麻子 斑|斑點
筆者 人 文書 祕書|秘書
筆者 人兒 文書 祕書|秘書
筆者 人類 文書 祕書|秘書
假人 人 假牙 牙|牙齒|齒
假人 人兒 假牙 牙|牙齒|齒
假人 人類 假牙 牙|牙齒|齒
假人 人 假髮 頭髮|髮
假人 人兒 假髮 頭髮|髮
假人 人類 假髮 頭髮|髮
假人 人 義肢 手足|肢
假人 人兒 義肢 手足|肢
假人 人類 義肢 手足|肢
假人 人 人造衛星 衛星
假人 人兒 人造衛星 衛星
假人 人類 人造衛星 衛星
假人 人 衛星 衛星
假人 人兒 衛星 衛星
假人 人類 衛星 衛星
假人 人 假山 山|岳|嶺
假人 人兒 假山 山|岳|嶺
假人 人類 假山 山|岳|嶺
假人 人 人造雨 雨|雨水
假人 人兒 人造雨 雨|雨水
假人 人類 人造雨 雨|雨水
假人 人 尼龍 纖維
假人 人兒 尼龍 纖維
假人 人類 尼龍 纖維
假人 人 玻纖 纖維
假人 人兒 玻纖 纖維
假人 人類 玻纖 纖維
跟班 人 隨員 人員|僱員|員工|職員
跟班 人兒 隨員 人員|僱員|員工|職員
跟班 人類 隨員 人員|僱員|員工|職員
天主 上天 教宗 老大|領導|領導人|領袖|頭兒|頭子|頭目|首腦|首領
天主 上帝 教宗 老大|領導|領導人|領袖|頭兒|頭子|頭目|首腦|首領
天主 上蒼 教宗 老大|領導|領導人|領袖|頭兒|頭子|頭目|首腦|首領
天主 祂 教宗 老大|領導|領導人|領袖|頭兒|頭子|頭目|首腦|首領
天主 上天 教皇 老大|領導|領導人|領袖|頭兒|頭子|頭目|首腦|首領
天主 上帝 教皇 老大|領導|領導人|領袖|頭兒|頭子|頭目|首腦|首領
天主 上蒼 教皇 老大|領導|領導人|領袖|頭兒|頭子|頭目|首腦|首領
天主 祂 教皇 老大|領導|領導人|領袖|頭兒|頭子|頭目|首腦|首領
天主 上天 天主教徒 信徒|信眾|教徒
天主 上帝 天主教徒 信徒|信眾|教徒
天主 上蒼 天主教徒 信徒|信眾|教徒
天主 祂 天主教徒 信徒|信眾|教徒
天主 上天 教父 信徒|信眾|教徒
天主 上帝 教父 信徒|信眾|教徒
天主 上蒼 教父 信徒|信眾|教徒
天主 祂 教父 信徒|信眾|教徒
天主 上天 修女 女|女人|女子|女性|女生|小姐
天主 上帝 修女 女|女人|女子|女性|女生|小姐
天主 上蒼 修女 女|女人|女子|女性|女生|小姐
天主 祂 修女 女|女人|女子|女性|女生|小姐
天主 上天 天主堂 教堂|禮拜堂
天主 上帝 天主堂 教堂|禮拜堂
天主 上蒼 天主堂 教堂|禮拜堂
天主 祂 天主堂 教堂|禮拜堂
天主 上天 天主教堂 教堂|禮拜堂
天主 上帝 天主教堂 教堂|禮拜堂
天主 上蒼 天主教堂 教堂|禮拜堂
天主 祂 天主教堂 教堂|禮拜堂
天父 上天 十字架 工具|用具|用品
天父 上帝 十字架 工具|用具|用品
天父 上蒼 十字架 工具|用具|用品
天父 祂 十字架 工具|用具|用品
主 上天 十字架 工具|用具|用品
主 上帝 十字架 工具|用具|用品
主 上蒼 十字架 工具|用具|用品
主 祂 十字架 工具|用具|用品
主 元首 侍從 下人|傭人|僕人|僕役|僱傭|奴僕|家僕|幫傭
主 統治者 侍從 下人|傭人|僕人|僕役|僱傭|奴僕|家僕|幫傭
主 元首 宮女 侍女|女傭|女僕|奴婢|婢女
主 統治者 宮女 侍女|女傭|女僕|奴婢|婢女
主 元首 翰林 學人|學士|學者|有識之士|知識份子|知識分子
主 統治者 翰林 學人|學士|學者|有識之士|知識份子|知識分子
主 元首 御醫 大夫|醫師|醫生|醫者
主 統治者 御醫 大夫|醫師|醫生|醫者
主 元首 闕 屋子|屋舍|房|房子|房屋|房舍
主 統治者 闕 屋子|屋舍|房|房子|房屋|房舍
主 元首 廟堂 僧院|寺|寺廟|寺院|廟|廟宇
主 統治者 廟堂 僧院|寺|寺廟|寺院|廟|廟宇
主 元首 陵墓 墓|墳|墳墓
主 統治者 陵墓 墓|墳|墳墓
主 元首 陵寢 墓|墳|墳墓
主 統治者 陵寢 墓|墳|墳墓
主 元首 璽 印|印石|印章|印鑑|圖章
主 統治者 璽 印|印石|印章|印鑑|圖章
主 元首 宮燈 燈|燈具|燈飾|電燈
主 統治者 宮燈 燈|燈具|燈飾|電燈
主 元首 王族 人|人兒|人類
主 統治者 王族 人|人兒|人類
主 元首 貴族 人|人兒|人類
主 統治者 貴族 人|人兒|人類
主 元首 諸侯 人|人兒|人類
主 統治者 諸侯 人|人兒|人類
主 元首 爵 人|人兒|人類
主 統治者 爵 人|人兒|人類
主 元首 侯 人|人兒|人類
主 統治者 侯 人|人兒|人類
主 元首 王公 人|人兒|人類
主 統治者 王公 人|人兒|人類
主 元首 王室 人|人兒|人類
主 統治者 王室 人|人兒|人類
主 元首 宮廷 屋子|屋舍|房|房子|房屋|房舍
主 統治者 宮廷 屋子|屋舍|房|房子|房屋|房舍
主 元首 宮殿 屋子|屋舍|房|房子|房屋|房舍
主 統治者 宮殿 屋子|屋舍|房|房子|房屋|房舍
主 元首 殿宇 屋子|屋舍|房|房子|房屋|房舍
主 統治者 殿宇 屋子|屋舍|房|房子|房屋|房舍
主 元首 殿堂 屋子|屋舍|房|房子|房屋|房舍
主 統治者 殿堂 屋子|屋舍|房|房子|房屋|房舍
主 元首 大內 屋子|屋舍|房|房子|房屋|房舍
主 統治者 大內 屋子|屋舍|房|房子|房屋|房舍
主 元首 王宮 屋子|屋舍|房|房子|房屋|房舍
主 統治者 王宮 屋子|屋舍|房|房子|房屋|房舍
主 元首 皇宮 屋子|屋舍|房|房子|房屋|房舍
主 統治者 皇宮 屋子|屋舍|房|房子|房屋|房舍
主 元首 宮 屋子|屋舍|房|房子|房屋|房舍
主 統治者 宮 屋子|屋舍|房|房子|房屋|房舍
主 元首 聖旨 公函|公文
主 統治者 聖旨 公函|公文
主 元首 旨 公函|公文
主 統治者 旨 公函|公文
主 元首 詔令 公函|公文
主 統治者 詔令 公函|公文
主 元首 詔書 公函|公文
主 統治者 詔書 公函|公文
耶和華 上天 十字架 工具|用具|用品
耶和華 上帝 十字架 工具|用具|用品
耶和華 上蒼 十字架 工具|用具|用品
耶和華 祂 十字架 工具|用具|用品
聖父 上天 十字架 工具|用具|用品
聖父 上帝 十字架 工具|用具|用品
聖父 上蒼 十字架 工具|用具|用品
聖父 祂 十字架 工具|用具|用品
孤魂 亡靈 孤家寡人 人|人兒|人類
孤魂 亡魂 孤家寡人 人|人兒|人類
孤魂 幽靈 孤家寡人 人|人兒|人類
孤魂 幽魂 孤家寡人 人|人兒|人類
孤魂 遊魂 孤家寡人 人|人兒|人類
孤魂 靈魂 孤家寡人 人|人兒|人類
孤魂 魂 孤家寡人 人|人兒|人類
孤魂 魂魄 孤家寡人 人|人兒|人類
孤魂 亡靈 孤舟 扁舟|舢板|舢舨|輕舟
孤魂 亡魂 孤舟 扁舟|舢板|舢舨|輕舟
孤魂 幽靈 孤舟 扁舟|舢板|舢舨|輕舟
孤魂 幽魂 孤舟 扁舟|舢板|舢舨|輕舟
孤魂 遊魂 孤舟 扁舟|舢板|舢舨|輕舟
孤魂 靈魂 孤舟 扁舟|舢板|舢舨|輕舟
孤魂 魂 孤舟 扁舟|舢板|舢舨|輕舟
孤魂 魂魄 孤舟 扁舟|舢板|舢舨|輕舟
飛天 仙 飛鼠 老鼠|鼠
飛天 仙人 飛鼠 老鼠|鼠
飛天 祇 飛鼠 老鼠|鼠
飛天 神 飛鼠 老鼠|鼠
飛天 神仙 飛鼠 老鼠|鼠
飛天 神明 飛鼠 老鼠|鼠
飛天 神祇 飛鼠 老鼠|鼠
飛天 仙 鼯鼠 老鼠|鼠
飛天 仙人 鼯鼠 老鼠|鼠
飛天 祇 鼯鼠 老鼠|鼠
飛天 神 鼯鼠 老鼠|鼠
飛天 神仙 鼯鼠 老鼠|鼠
飛天 神明 鼯鼠 老鼠|鼠
飛天 神祇 鼯鼠 老鼠|鼠
飛天 仙 飛蟲 昆蟲|蟲|蟲兒|蟲子
飛天 仙人 飛蟲 昆蟲|蟲|蟲兒|蟲子
飛天 祇 飛蟲 昆蟲|蟲|蟲兒|蟲子
飛天 神 飛蟲 昆蟲|蟲|蟲兒|蟲子
飛天 神仙 飛蟲 昆蟲|蟲|蟲兒|蟲子
飛天 神明 飛蟲 昆蟲|蟲|蟲兒|蟲子
飛天 神祇 飛蟲 昆蟲|蟲|蟲兒|蟲子
飛天 仙 白蟻 螞蟻|蟻
飛天 仙人 白蟻 螞蟻|蟻
飛天 祇 白蟻 螞蟻|蟻
飛天 神 白蟻 螞蟻|蟻
飛天 神仙 白蟻 螞蟻|蟻
飛天 神明 白蟻 螞蟻|蟻
飛天 神祇 白蟻 螞蟻|蟻
飛天 仙 蝗蟲 紡織娘|蚱蜢|螽斯
飛天 仙人 蝗蟲 紡織娘|蚱蜢|螽斯
飛天 祇 蝗蟲 紡織娘|蚱蜢|螽斯
飛天 神 蝗蟲 紡織娘|蚱蜢|螽斯
飛天 神仙 蝗蟲 紡織娘|蚱蜢|螽斯
飛天 神明 蝗蟲 紡織娘|蚱蜢|螽斯
飛天 神祇 蝗蟲 紡織娘|蚱蜢|螽斯
飛天 仙 飛魚 魚|魚兒|魚類
飛天 仙人 飛魚 魚|魚兒|魚類
飛天 祇 飛魚 魚|魚兒|魚類
飛天 神 飛魚 魚|魚兒|魚類
飛天 神仙 飛魚 魚|魚兒|魚類
飛天 神明 飛魚 魚|魚兒|魚類
飛天 神祇 飛魚 魚|魚兒|魚類
飛天 仙 飛行器 載具
飛天 仙人 飛行器 載具
飛天 祇 飛行器 載具
飛天 神 飛行器 載具
飛天 神仙 飛行器 載具
飛天 神明 飛行器 載具
飛天 神祇 飛行器 載具
飛天 仙 機 載具
飛天 仙人 機 載具
飛天 祇 機 載具
飛天 神 機 載具
飛天 神仙 機 載具
飛天 神明 機 載具
飛天 神祇 機 載具
守護神 仙 護衛 內行人|專家|專才|行家
守護神 仙人 護衛 內行人|專家|專才|行家
守護神 祇 護衛 內行人|專家|專才|行家
守護神 神 護衛 內行人|專家|專才|行家
守護神 神仙 護衛 內行人|專家|專才|行家
守護神 神明 護衛 內行人|專家|專才|行家
守護神 神祇 護衛 內行人|專家|專才|行家
守護神 仙 保安 內行人|專家|專才|行家
守護神 仙人 保安 內行人|專家|專才|行家
守護神 祇 保安 內行人|專家|專才|行家
守護神 神 保安 內行人|專家|專才|行家
守護神 神仙 保安 內行人|專家|專才|行家
守護神 神明 保安 內行人|專家|專才|行家
守護神 神祇 保安 內行人|專家|專才|行家
守護神 仙 守衛 內行人|專家|專才|行家
守護神 仙人 守衛 內行人|專家|專才|行家
守護神 祇 守衛 內行人|專家|專才|行家
守護神 神 守衛 內行人|專家|專才|行家
守護神 神仙 守衛 內行人|專家|專才|行家
守護神 神明 守衛 內行人|專家|專才|行家
守護神 神祇 守衛 內行人|專家|專才|行家
守護神 仙 侍衛 內行人|專家|專才|行家
守護神 仙人 侍衛 內行人|專家|專才|行家
守護神 祇 侍衛 內行人|專家|專才|行家
守護神 神 侍衛 內行人|專家|專才|行家
守護神 神仙 侍衛 內行人|專家|專才|行家
守護神 神明 侍衛 內行人|專家|專才|行家
守護神 神祇 侍衛 內行人|專家|專才|行家
守護神 仙 駐衛警 內行人|專家|專才|行家
守護神 仙人 駐衛警 內行人|專家|專才|行家
守護神 祇 駐衛警 內行人|專家|專才|行家
守護神 神 駐衛警 內行人|專家|專才|行家
守護神 神仙 駐衛警 內行人|專家|專才|行家
守護神 神明 駐衛警 內行人|專家|專才|行家
守護神 神祇 駐衛警 內行人|專家|專才|行家
守護神 仙 警衛 內行人|專家|專才|行家
守護神 仙人 警衛 內行人|專家|專才|行家
守護神 祇 警衛 內行人|專家|專才|行家
守護神 神 警衛 內行人|專家|專才|行家
守護神 神仙 警衛 內行人|專家|專才|行家
守護神 神明 警衛 內行人|專家|專才|行家
守護神 神祇 警衛 內行人|專家|專才|行家
風神 風 酒神 酒
風神 風兒 酒神 酒
風神 風 海神 大海|汪洋大海|洋|海|海洋
風神 風兒 海神 大海|汪洋大海|洋|海|海洋
風神 風 海龍王 大海|汪洋大海|洋|海|海洋
風神 風兒 海龍王 大海|汪洋大海|洋|海|海洋
風神 風 龍王 大海|汪洋大海|洋|海|海洋
風神 風兒 龍王 大海|汪洋大海|洋|海|海洋
風神 風 財神 財|財富|財物|財產|金錢|錢財
風神 風兒 財神 財|財富|財物|財產|金錢|錢財
風神 風 財神爺 財|財富|財物|財產|金錢|錢財
風神 風兒 財神爺 財|財富|財物|財產|金錢|錢財
風神 風 山神 山|岳|嶺
風神 風兒 山神 山|岳|嶺
風神 風 太陽神 太陽|日
風神 風兒 太陽神 太陽|日
風神 風 火神 火|火焰|火燄
風神 風兒 火神 火|火焰|火燄
風神 風 祝融 火|火焰|火燄
風神 風兒 祝融 火|火焰|火燄
酒神 酒 海神 大海|汪洋大海|洋|海|海洋
酒神 酒 海龍王 大海|汪洋大海|洋|海|海洋
酒神 酒 龍王 大海|汪洋大海|洋|海|海洋
酒神 酒 財神 財|財富|財物|財產|金錢|錢財
酒神 酒 財神爺 財|財富|財物|財產|金錢|錢財
酒神 酒 山神 山|岳|嶺
酒神 酒 太陽神 太陽|日
酒神 酒 火神 火|火焰|火燄
酒神 酒 祝融 火|火焰|火燄
吸血鬼 妖 水蛭 昆蟲|蟲|蟲兒|蟲子
吸血鬼 妖怪 水蛭 昆蟲|蟲|蟲兒|蟲子
吸血鬼 妖精 水蛭 昆蟲|蟲|蟲兒|蟲子
吸血鬼 妖魔 水蛭 昆蟲|蟲|蟲兒|蟲子
吸血鬼 妖魔鬼怪 水蛭 昆蟲|蟲|蟲兒|蟲子
吸血鬼 怪物 水蛭 昆蟲|蟲|蟲兒|蟲子
吸血鬼 精靈 水蛭 昆蟲|蟲|蟲兒|蟲子
吸血鬼 靈 水蛭 昆蟲|蟲|蟲兒|蟲子
吸血鬼 鬼怪 水蛭 昆蟲|蟲|蟲兒|蟲子
吸血鬼 魔 水蛭 昆蟲|蟲|蟲兒|蟲子
吸血鬼 魔鬼 水蛭 昆蟲|蟲|蟲兒|蟲子
巨靈 妖 巨龍 龍
巨靈 妖怪 巨龍 龍
巨靈 妖精 巨龍 龍
巨靈 妖魔 巨龍 龍
巨靈 妖魔鬼怪 巨龍 龍
巨靈 怪物 巨龍 龍
巨靈 精靈 巨龍 龍
巨靈 靈 巨龍 龍
巨靈 鬼怪 巨龍 龍
巨靈 魔 巨龍 龍
巨靈 魔鬼 巨龍 龍
巨靈 妖 信天翁 海鳥|海鷗
巨靈 妖怪 信天翁 海鳥|海鷗
巨靈 妖精 信天翁 海鳥|海鷗
巨靈 妖魔 信天翁 海鳥|海鷗
巨靈 妖魔鬼怪 信天翁 海鳥|海鷗
巨靈 怪物 信天翁 海鳥|海鷗
巨靈 精靈 信天翁 海鳥|海鷗
巨靈 靈 信天翁 海鳥|海鷗
巨靈 鬼怪 信天翁 海鳥|海鷗
巨靈 魔 信天翁 海鳥|海鷗
巨靈 魔鬼 信天翁 海鳥|海鷗
巨靈 妖 龍蝦 蝦|蝦子
巨靈 妖怪 龍蝦 蝦|蝦子
巨靈 妖精 龍蝦 蝦|蝦子
巨靈 妖魔 龍蝦 蝦|蝦子
巨靈 妖魔鬼怪 龍蝦 蝦|蝦子
